[START] 2025-06-12T00:09:04.717339
  - Trainable Parameters: 125,031,938
  - Device: NVIDIA RTX A6000
  - Hyperparameters: "batch_size":      128
"epochs":          30
"gpus":            1
"label_smoothing": 0.1
"lr":              2e-05
"max_length":      128
"model_size":      gpt2
"num_workers":     4
"output_dir":      ../outputs
"para_dev":        ../data/quora-dev.csv
"para_dev_out":    ../predictions/para-dev-output.csv
"para_test":       ../data/quora-test-student.csv
"para_test_out":   ../predictions/para-test-output.csv
"para_train":      ../data/quora-train.csv
"precision":       16-mixed
"rdrop_alpha":     4.0
"seed":            11711
"warmup_ratio":    0.1
[VAL  ] EPOCH 0 END: loss=1.1986 | acc=0.3359 | f1=0.2515
[2025-06-12T00:09:26.160524] step=50 | loss=0.9337 | lr=1.477e-07 | peak_mem=17393MB
[2025-06-12T00:09:44.111943] step=100 | loss=0.6785 | lr=2.985e-07 | peak_mem=17393MB
[2025-06-12T00:10:02.145837] step=150 | loss=0.6578 | lr=4.493e-07 | peak_mem=17402MB
[2025-06-12T00:10:19.487585] step=200 | loss=0.6223 | lr=6.000e-07 | peak_mem=17402MB
[2025-06-12T00:10:36.753142] step=250 | loss=0.6187 | lr=7.508e-07 | peak_mem=17402MB
[2025-06-12T00:10:53.966983] step=300 | loss=0.6277 | lr=9.016e-07 | peak_mem=17402MB
[2025-06-12T00:11:11.253333] step=350 | loss=0.6162 | lr=1.052e-06 | peak_mem=17402MB
[2025-06-12T00:11:29.066352] step=400 | loss=0.5578 | lr=1.203e-06 | peak_mem=17402MB
[2025-06-12T00:11:46.665628] step=450 | loss=0.5869 | lr=1.354e-06 | peak_mem=17402MB
[2025-06-12T00:12:03.929022] step=500 | loss=0.6159 | lr=1.505e-06 | peak_mem=17402MB
[2025-06-12T00:12:21.268008] step=550 | loss=0.5786 | lr=1.655e-06 | peak_mem=17402MB
[2025-06-12T00:12:38.750938] step=600 | loss=0.5722 | lr=1.806e-06 | peak_mem=17402MB
[2025-06-12T00:12:56.700782] step=650 | loss=0.5266 | lr=1.957e-06 | peak_mem=17402MB
[2025-06-12T00:13:14.081611] step=700 | loss=0.5743 | lr=2.108e-06 | peak_mem=17402MB
[2025-06-12T00:13:31.935126] step=750 | loss=0.6175 | lr=2.258e-06 | peak_mem=17402MB
[2025-06-12T00:13:50.130166] step=800 | loss=0.5171 | lr=2.409e-06 | peak_mem=17402MB
[2025-06-12T00:14:07.827107] step=850 | loss=0.5594 | lr=2.560e-06 | peak_mem=17402MB
[2025-06-12T00:14:25.310980] step=900 | loss=0.5204 | lr=2.711e-06 | peak_mem=17402MB
[2025-06-12T00:14:43.636184] step=950 | loss=0.5255 | lr=2.861e-06 | peak_mem=17402MB
[2025-06-12T00:15:01.146968] step=1000 | loss=0.5430 | lr=3.012e-06 | peak_mem=17402MB
[2025-06-12T00:15:18.748654] step=1050 | loss=0.4307 | lr=3.163e-06 | peak_mem=17402MB
[2025-06-12T00:15:36.538079] step=1100 | loss=0.5124 | lr=3.314e-06 | peak_mem=17402MB
[2025-06-12T00:15:53.728422] step=1150 | loss=0.4726 | lr=3.464e-06 | peak_mem=17402MB
[2025-06-12T00:16:11.072897] step=1200 | loss=0.4904 | lr=3.615e-06 | peak_mem=17402MB
[2025-06-12T00:16:28.728956] step=1250 | loss=0.4870 | lr=3.766e-06 | peak_mem=17409MB
[2025-06-12T00:16:46.358984] step=1300 | loss=0.5058 | lr=3.917e-06 | peak_mem=17409MB
[2025-06-12T00:17:03.627204] step=1350 | loss=0.4984 | lr=4.068e-06 | peak_mem=17409MB
[2025-06-12T00:17:21.149800] step=1400 | loss=0.4276 | lr=4.218e-06 | peak_mem=17409MB
[2025-06-12T00:17:38.431339] step=1450 | loss=0.4960 | lr=4.369e-06 | peak_mem=17409MB
[2025-06-12T00:17:56.827523] step=1500 | loss=0.4752 | lr=4.520e-06 | peak_mem=17409MB
[2025-06-12T00:18:14.569864] step=1550 | loss=0.4967 | lr=4.671e-06 | peak_mem=17409MB
[2025-06-12T00:18:32.296360] step=1600 | loss=0.4805 | lr=4.821e-06 | peak_mem=17409MB
[2025-06-12T00:18:50.008919] step=1650 | loss=0.4620 | lr=4.972e-06 | peak_mem=17409MB
[2025-06-12T00:19:07.262827] step=1700 | loss=0.4635 | lr=5.123e-06 | peak_mem=17409MB
[2025-06-12T00:19:24.546627] step=1750 | loss=0.4444 | lr=5.274e-06 | peak_mem=17409MB
[2025-06-12T00:19:42.546571] step=1800 | loss=0.4290 | lr=5.424e-06 | peak_mem=17409MB
[2025-06-12T00:20:00.186716] step=1850 | loss=0.5207 | lr=5.575e-06 | peak_mem=17409MB
[2025-06-12T00:20:17.374865] step=1900 | loss=0.4805 | lr=5.726e-06 | peak_mem=17409MB
[2025-06-12T00:20:34.793131] step=1950 | loss=0.4635 | lr=5.877e-06 | peak_mem=17409MB
[2025-06-12T00:20:52.672445] step=2000 | loss=0.4475 | lr=6.027e-06 | peak_mem=17409MB
[2025-06-12T00:21:09.954134] step=2050 | loss=0.4677 | lr=6.178e-06 | peak_mem=17409MB
[2025-06-12T00:21:27.587861] step=2100 | loss=0.4926 | lr=6.329e-06 | peak_mem=17409MB
[2025-06-12T00:21:44.966603] step=2150 | loss=0.4408 | lr=6.480e-06 | peak_mem=17409MB
[2025-06-12T00:22:02.976112] step=2200 | loss=0.4796 | lr=6.630e-06 | peak_mem=17409MB
[VAL  ] EPOCH 0 END: loss=0.3933 | acc=0.8257 | f1=0.8152
[TRAIN] EPOCH 0 END: loss=0.5450 | loss_step=0.4656 | ce_loss=0.5450 | ce_loss_step=0.4656 | kl_loss=0.0000 | kl_loss_step=0.0000 | acc=0.7439 | acc_step=0.7967 | loss_epoch=0.5450 | ce_loss_epoch=0.5450 | kl_loss_epoch=0.0000 | acc_epoch=0.7439
[2025-06-12T00:23:02.343623] step=2250 | loss=0.4287 | lr=6.781e-06 | peak_mem=17409MB
[2025-06-12T00:23:19.996095] step=2300 | loss=0.5322 | lr=6.932e-06 | peak_mem=17409MB
[2025-06-12T00:23:36.952690] step=2350 | loss=0.4773 | lr=7.083e-06 | peak_mem=17409MB
[2025-06-12T00:23:55.033671] step=2400 | loss=0.4148 | lr=7.234e-06 | peak_mem=17409MB
[2025-06-12T00:24:11.967303] step=2450 | loss=0.4550 | lr=7.384e-06 | peak_mem=17409MB
[2025-06-12T00:24:28.947398] step=2500 | loss=0.4614 | lr=7.535e-06 | peak_mem=17409MB
[2025-06-12T00:24:46.665801] step=2550 | loss=0.4362 | lr=7.686e-06 | peak_mem=17409MB
[2025-06-12T00:25:04.121822] step=2600 | loss=0.4087 | lr=7.837e-06 | peak_mem=17409MB
[2025-06-12T00:25:22.065694] step=2650 | loss=0.4175 | lr=7.987e-06 | peak_mem=17409MB
[2025-06-12T00:25:39.877534] step=2700 | loss=0.4603 | lr=8.138e-06 | peak_mem=17409MB
[2025-06-12T00:25:57.302142] step=2750 | loss=0.4521 | lr=8.289e-06 | peak_mem=17409MB
[2025-06-12T00:26:14.605081] step=2800 | loss=0.4436 | lr=8.440e-06 | peak_mem=17409MB
[2025-06-12T00:26:32.670463] step=2850 | loss=0.3847 | lr=8.590e-06 | peak_mem=17409MB
[2025-06-12T00:26:50.064405] step=2900 | loss=0.4214 | lr=8.741e-06 | peak_mem=17409MB
[2025-06-12T00:27:07.918445] step=2950 | loss=0.4141 | lr=8.892e-06 | peak_mem=17409MB
[2025-06-12T00:27:25.190743] step=3000 | loss=0.4916 | lr=9.043e-06 | peak_mem=17409MB
[2025-06-12T00:27:42.784113] step=3050 | loss=0.4625 | lr=9.193e-06 | peak_mem=17409MB
[2025-06-12T00:28:00.582161] step=3100 | loss=0.4847 | lr=9.344e-06 | peak_mem=17409MB
[2025-06-12T00:28:17.847751] step=3150 | loss=0.4451 | lr=9.495e-06 | peak_mem=17409MB
[2025-06-12T00:28:35.449048] step=3200 | loss=0.4454 | lr=9.646e-06 | peak_mem=17409MB
[2025-06-12T00:28:53.776949] step=3250 | loss=0.4260 | lr=9.796e-06 | peak_mem=17409MB
[2025-06-12T00:29:11.485546] step=3300 | loss=0.4603 | lr=9.947e-06 | peak_mem=17409MB
[2025-06-12T00:29:28.992805] step=3350 | loss=0.4578 | lr=1.010e-05 | peak_mem=17409MB
[2025-06-12T00:29:46.614939] step=3400 | loss=0.4391 | lr=1.025e-05 | peak_mem=17409MB
[2025-06-12T00:30:04.120098] step=3450 | loss=0.3818 | lr=1.040e-05 | peak_mem=17409MB
[2025-06-12T00:30:22.246903] step=3500 | loss=0.4431 | lr=1.055e-05 | peak_mem=17409MB
[2025-06-12T00:30:39.827517] step=3550 | loss=0.4433 | lr=1.070e-05 | peak_mem=17409MB
[2025-06-12T00:30:57.772129] step=3600 | loss=0.4627 | lr=1.085e-05 | peak_mem=17409MB
[2025-06-12T00:31:15.483918] step=3650 | loss=0.4050 | lr=1.100e-05 | peak_mem=17409MB
[2025-06-12T00:31:32.715591] step=3700 | loss=0.4579 | lr=1.115e-05 | peak_mem=17409MB
[2025-06-12T00:31:50.368233] step=3750 | loss=0.4392 | lr=1.130e-05 | peak_mem=17409MB
[2025-06-12T00:32:07.869912] step=3800 | loss=0.4472 | lr=1.145e-05 | peak_mem=17409MB
[2025-06-12T00:32:25.284275] step=3850 | loss=0.4008 | lr=1.161e-05 | peak_mem=17409MB
[2025-06-12T00:32:42.799286] step=3900 | loss=0.4348 | lr=1.176e-05 | peak_mem=17409MB
[2025-06-12T00:33:00.608611] step=3950 | loss=0.3598 | lr=1.191e-05 | peak_mem=17409MB
[2025-06-12T00:33:17.793040] step=4000 | loss=0.3888 | lr=1.206e-05 | peak_mem=17409MB
[2025-06-12T00:33:35.293256] step=4050 | loss=0.4211 | lr=1.221e-05 | peak_mem=17409MB
[2025-06-12T00:33:53.031507] step=4100 | loss=0.4019 | lr=1.236e-05 | peak_mem=17409MB
[2025-06-12T00:34:11.014782] step=4150 | loss=0.3924 | lr=1.251e-05 | peak_mem=17409MB
[2025-06-12T00:34:28.111477] step=4200 | loss=0.3979 | lr=1.266e-05 | peak_mem=17409MB
[2025-06-12T00:34:45.713870] step=4250 | loss=0.4207 | lr=1.281e-05 | peak_mem=17409MB
[2025-06-12T00:35:03.073198] step=4300 | loss=0.4347 | lr=1.296e-05 | peak_mem=17409MB
[2025-06-12T00:35:20.566167] step=4350 | loss=0.4594 | lr=1.311e-05 | peak_mem=17409MB
[2025-06-12T00:35:38.252122] step=4400 | loss=0.4601 | lr=1.326e-05 | peak_mem=17409MB
[VAL  ] EPOCH 1 END: loss=0.3455 | acc=0.8535 | f1=0.8474
[TRAIN] EPOCH 1 END: loss=0.4332 | loss_step=0.4451 | ce_loss=0.4332 | ce_loss_step=0.4451 | kl_loss=0.0000 | kl_loss_step=0.0000 | acc=0.8415 | acc_step=0.8049 | loss_epoch=0.4332 | ce_loss_epoch=0.4332 | kl_loss_epoch=0.0000 | acc_epoch=0.8415
[2025-06-12T00:36:42.635472] step=4450 | loss=0.4121 | lr=1.341e-05 | peak_mem=17409MB
[2025-06-12T00:36:59.610712] step=4500 | loss=0.4423 | lr=1.357e-05 | peak_mem=17409MB
[2025-06-12T00:37:17.393181] step=4550 | loss=0.4197 | lr=1.372e-05 | peak_mem=17411MB
[2025-06-12T00:37:34.568634] step=4600 | loss=0.3627 | lr=1.387e-05 | peak_mem=17411MB
[2025-06-12T00:37:51.359669] step=4650 | loss=0.3852 | lr=1.402e-05 | peak_mem=17411MB
