[START] 2025-06-12T10:00:34.946988
  - Run Name: 20250612_100027_gpt2_BET_RDrop
  - Trainable Parameters: 124,441,346
  - Device: NVIDIA RTX A6000
  - Hyperparameters: "batch_size":      128
"epochs":          20
"gpus":            1
"label_smoothing": 0.1
"lr":              2e-05
"max_length":      128
"model_size":      gpt2
"num_workers":     4
"output_dir":      ../outputs
"para_dev":        ../data/quora-dev.csv
"para_test":       ../data/quora-test-student.csv
"para_train":      ../data/quora-train.csv
"precision":       16-mixed
"rdrop_alpha":     4.0
"seed":            11711
"warmup_ratio":    0.1
[VAL  ] EPOCH 0 END: loss=5.4159 | acc=0.3359 | f1=0.2515
[2025-06-12T10:00:54.586406] step=50 | loss=3.5231 | lr=1.618e-07 | peak_mem=17415MB
[2025-06-12T10:01:11.969852] step=100 | loss=1.9791 | lr=3.269e-07 | peak_mem=17426MB
[2025-06-12T10:01:28.632419] step=150 | loss=1.1180 | lr=4.921e-07 | peak_mem=17426MB
[2025-06-12T10:01:45.390258] step=200 | loss=0.6931 | lr=6.572e-07 | peak_mem=17432MB
[2025-06-12T10:02:01.808689] step=250 | loss=0.6936 | lr=8.223e-07 | peak_mem=17432MB
[2025-06-12T10:02:18.639585] step=300 | loss=0.6830 | lr=9.875e-07 | peak_mem=17432MB
[2025-06-12T10:02:35.060259] step=350 | loss=0.6830 | lr=1.153e-06 | peak_mem=17432MB
[2025-06-12T10:02:52.460885] step=400 | loss=0.6978 | lr=1.318e-06 | peak_mem=17432MB
[2025-06-12T10:03:09.046141] step=450 | loss=0.6438 | lr=1.483e-06 | peak_mem=17432MB
[2025-06-12T10:03:25.929765] step=500 | loss=0.6669 | lr=1.648e-06 | peak_mem=17432MB
[2025-06-12T10:03:42.586772] step=550 | loss=0.6352 | lr=1.813e-06 | peak_mem=17432MB
[2025-06-12T10:04:00.115569] step=600 | loss=0.6582 | lr=1.978e-06 | peak_mem=17432MB
[2025-06-12T10:04:16.793641] step=650 | loss=0.6485 | lr=2.143e-06 | peak_mem=17432MB
[2025-06-12T10:04:33.516004] step=700 | loss=0.6593 | lr=2.308e-06 | peak_mem=17432MB
[2025-06-12T10:04:50.875477] step=750 | loss=0.7040 | lr=2.474e-06 | peak_mem=17432MB
[2025-06-12T10:05:08.007964] step=800 | loss=0.6150 | lr=2.639e-06 | peak_mem=17432MB
[2025-06-12T10:05:24.986957] step=850 | loss=0.6628 | lr=2.804e-06 | peak_mem=17432MB
[2025-06-12T10:05:41.527443] step=900 | loss=0.6450 | lr=2.969e-06 | peak_mem=17432MB
[2025-06-12T10:05:58.393872] step=950 | loss=0.6323 | lr=3.134e-06 | peak_mem=17432MB
[2025-06-12T10:06:14.835209] step=1000 | loss=0.6605 | lr=3.299e-06 | peak_mem=17432MB
[2025-06-12T10:06:32.047833] step=1050 | loss=0.6172 | lr=3.464e-06 | peak_mem=17432MB
