-------------------------
Time: 2025-06-14 04:01:40 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040131_gpt2_lora
Training started at: 2025-06-14 04:01:43
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 04:02:01 | Step: 50 | Train Loss: 0.6943
Time: 2025-06-14 04:02:19 | Step: 100 | Train Loss: 0.6067
Time: 2025-06-14 04:02:37 | Step: 150 | Train Loss: 0.6089
Time: 2025-06-14 04:02:55 | Step: 200 | Train Loss: 0.5456
Time: 2025-06-14 04:03:13 | Step: 250 | Train Loss: 0.5234
Time: 2025-06-14 04:03:31 | Step: 300 | Train Loss: 0.4937
Time: 2025-06-14 04:03:49 | Step: 350 | Train Loss: 0.5326
Time: 2025-06-14 04:04:07 | Step: 400 | Train Loss: 0.5471
Time: 2025-06-14 04:04:25 | Step: 450 | Train Loss: 0.5734
Time: 2025-06-14 04:04:44 | Step: 500 | Train Loss: 0.5033
Time: 2025-06-14 04:05:02 | Step: 550 | Train Loss: 0.5822
Time: 2025-06-14 04:05:20 | Step: 600 | Train Loss: 0.4937
Time: 2025-06-14 04:05:38 | Step: 650 | Train Loss: 0.4939
Time: 2025-06-14 04:05:56 | Step: 700 | Train Loss: 0.4379
Time: 2025-06-14 04:06:14 | Step: 750 | Train Loss: 0.4742
Time: 2025-06-14 04:06:33 | Step: 800 | Train Loss: 0.4894
Time: 2025-06-14 04:06:51 | Step: 850 | Train Loss: 0.4786
Time: 2025-06-14 04:07:09 | Step: 900 | Train Loss: 0.4758
Time: 2025-06-14 04:07:27 | Step: 950 | Train Loss: 0.4282
Time: 2025-06-14 04:07:45 | Step: 1000 | Train Loss: 0.5985
Time: 2025-06-14 04:08:03 | Step: 1050 | Train Loss: 0.4150
Time: 2025-06-14 04:08:21 | Step: 1100 | Train Loss: 0.4948
Time: 2025-06-14 04:08:40 | Step: 1150 | Train Loss: 0.4271
Time: 2025-06-14 04:08:58 | Step: 1200 | Train Loss: 0.5188
Time: 2025-06-14 04:09:16 | Step: 1250 | Train Loss: 0.5808
Time: 2025-06-14 04:09:34 | Step: 1300 | Train Loss: 0.4498
Time: 2025-06-14 04:09:52 | Step: 1350 | Train Loss: 0.4244
Time: 2025-06-14 04:10:10 | Step: 1400 | Train Loss: 0.4604
Time: 2025-06-14 04:10:29 | Step: 1450 | Train Loss: 0.4690
Time: 2025-06-14 04:10:47 | Step: 1500 | Train Loss: 0.4881
Time: 2025-06-14 04:11:05 | Step: 1550 | Train Loss: 0.4350
Time: 2025-06-14 04:11:23 | Step: 1600 | Train Loss: 0.4714
Time: 2025-06-14 04:11:41 | Step: 1650 | Train Loss: 0.4402
Time: 2025-06-14 04:12:00 | Step: 1700 | Train Loss: 0.4791
Time: 2025-06-14 04:12:18 | Step: 1750 | Train Loss: 0.4515
Time: 2025-06-14 04:12:36 | Step: 1800 | Train Loss: 0.4959
Time: 2025-06-14 04:12:54 | Step: 1850 | Train Loss: 0.4693
Time: 2025-06-14 04:13:12 | Step: 1900 | Train Loss: 0.4453
Time: 2025-06-14 04:13:31 | Step: 1950 | Train Loss: 0.4056
Time: 2025-06-14 04:13:49 | Step: 2000 | Train Loss: 0.3994
Time: 2025-06-14 04:14:07 | Step: 2050 | Train Loss: 0.4161
Time: 2025-06-14 04:14:25 | Step: 2100 | Train Loss: 0.4272
Time: 2025-06-14 04:14:43 | Step: 2150 | Train Loss: 0.5050
Time: 2025-06-14 04:15:01 | Step: 2200 | Train Loss: 0.3962
-------------------------
Time: 2025-06-14 04:15:59 | *** Validation Epoch 0 End ***
  - Val Loss: 0.4336
  - Val Acc:  0.7882
  - Val F1:   0.7767
-------------------------
Time: 2025-06-14 04:16:23 | Step: 2250 | Train Loss: 0.4623
Time: 2025-06-14 04:16:41 | Step: 2300 | Train Loss: 0.5052
Time: 2025-06-14 04:16:59 | Step: 2350 | Train Loss: 0.4215
Time: 2025-06-14 04:17:17 | Step: 2400 | Train Loss: 0.4223
Time: 2025-06-14 04:17:35 | Step: 2450 | Train Loss: 0.4131
Time: 2025-06-14 04:17:54 | Step: 2500 | Train Loss: 0.4153
Time: 2025-06-14 04:18:12 | Step: 2550 | Train Loss: 0.4263
Time: 2025-06-14 04:18:30 | Step: 2600 | Train Loss: 0.4739
Time: 2025-06-14 04:18:48 | Step: 2650 | Train Loss: 0.3892
Time: 2025-06-14 04:19:06 | Step: 2700 | Train Loss: 0.3455
Time: 2025-06-14 04:19:24 | Step: 2750 | Train Loss: 0.3953
Time: 2025-06-14 04:19:43 | Step: 2800 | Train Loss: 0.3602
Time: 2025-06-14 04:20:01 | Step: 2850 | Train Loss: 0.5295
Time: 2025-06-14 04:20:19 | Step: 2900 | Train Loss: 0.4128
Time: 2025-06-14 04:20:37 | Step: 2950 | Train Loss: 0.3884
Time: 2025-06-14 04:20:55 | Step: 3000 | Train Loss: 0.3811
Time: 2025-06-14 04:21:14 | Step: 3050 | Train Loss: 0.3735
Time: 2025-06-14 04:21:32 | Step: 3100 | Train Loss: 0.4005
Time: 2025-06-14 04:21:50 | Step: 3150 | Train Loss: 0.4278
Time: 2025-06-14 04:22:08 | Step: 3200 | Train Loss: 0.3989
Time: 2025-06-14 04:22:26 | Step: 3250 | Train Loss: 0.4302
Time: 2025-06-14 04:22:44 | Step: 3300 | Train Loss: 0.4128
Time: 2025-06-14 04:23:03 | Step: 3350 | Train Loss: 0.4009
Time: 2025-06-14 04:23:21 | Step: 3400 | Train Loss: 0.3632
Time: 2025-06-14 04:23:39 | Step: 3450 | Train Loss: 0.4395
Time: 2025-06-14 04:23:57 | Step: 3500 | Train Loss: 0.4126
Time: 2025-06-14 04:24:15 | Step: 3550 | Train Loss: 0.4656
Time: 2025-06-14 04:24:33 | Step: 3600 | Train Loss: 0.3457
Time: 2025-06-14 04:24:52 | Step: 3650 | Train Loss: 0.3908
Time: 2025-06-14 04:25:10 | Step: 3700 | Train Loss: 0.3059
Time: 2025-06-14 04:25:28 | Step: 3750 | Train Loss: 0.4720
Time: 2025-06-14 04:25:46 | Step: 3800 | Train Loss: 0.4179
Time: 2025-06-14 04:26:04 | Step: 3850 | Train Loss: 0.3642
Time: 2025-06-14 04:26:23 | Step: 3900 | Train Loss: 0.3546
Time: 2025-06-14 04:26:41 | Step: 3950 | Train Loss: 0.3771
Time: 2025-06-14 04:26:59 | Step: 4000 | Train Loss: 0.4021
Time: 2025-06-14 04:27:17 | Step: 4050 | Train Loss: 0.4192
Time: 2025-06-14 04:27:35 | Step: 4100 | Train Loss: 0.3282
Time: 2025-06-14 04:27:53 | Step: 4150 | Train Loss: 0.4472
Time: 2025-06-14 04:28:12 | Step: 4200 | Train Loss: 0.4255
Time: 2025-06-14 04:28:30 | Step: 4250 | Train Loss: 0.4398
Time: 2025-06-14 04:28:48 | Step: 4300 | Train Loss: 0.3821
Time: 2025-06-14 04:29:06 | Step: 4350 | Train Loss: 0.5255
Time: 2025-06-14 04:29:24 | Step: 4400 | Train Loss: 0.3329
-------------------------
Time: 2025-06-14 04:30:25 | *** Validation Epoch 1 End ***
  - Val Loss: 0.3962
  - Val Acc:  0.8096
  - Val F1:   0.7967
-------------------------
Time: 2025-06-14 04:30:47 | Step: 4450 | Train Loss: 0.3549
Time: 2025-06-14 04:31:06 | Step: 4500 | Train Loss: 0.3998
Time: 2025-06-14 04:31:24 | Step: 4550 | Train Loss: 0.3769
Time: 2025-06-14 04:31:42 | Step: 4600 | Train Loss: 0.4358
Time: 2025-06-14 04:32:00 | Step: 4650 | Train Loss: 0.3924
Time: 2025-06-14 04:32:18 | Step: 4700 | Train Loss: 0.5271
Time: 2025-06-14 04:32:36 | Step: 4750 | Train Loss: 0.4021
Time: 2025-06-14 04:32:54 | Step: 4800 | Train Loss: 0.4285
Time: 2025-06-14 04:33:13 | Step: 4850 | Train Loss: 0.3861
Time: 2025-06-14 04:33:31 | Step: 4900 | Train Loss: 0.3649
Time: 2025-06-14 04:33:49 | Step: 4950 | Train Loss: 0.4528
Time: 2025-06-14 04:34:07 | Step: 5000 | Train Loss: 0.3932
Time: 2025-06-14 04:34:25 | Step: 5050 | Train Loss: 0.3222
Time: 2025-06-14 04:34:44 | Step: 5100 | Train Loss: 0.3390
Time: 2025-06-14 04:35:02 | Step: 5150 | Train Loss: 0.3203
Time: 2025-06-14 04:35:20 | Step: 5200 | Train Loss: 0.4208
Time: 2025-06-14 04:35:38 | Step: 5250 | Train Loss: 0.4143
Time: 2025-06-14 04:35:56 | Step: 5300 | Train Loss: 0.3339
Time: 2025-06-14 04:36:14 | Step: 5350 | Train Loss: 0.4108
Time: 2025-06-14 04:36:33 | Step: 5400 | Train Loss: 0.3237
Time: 2025-06-14 04:36:51 | Step: 5450 | Train Loss: 0.4585
Time: 2025-06-14 04:37:09 | Step: 5500 | Train Loss: 0.4385
Time: 2025-06-14 04:37:27 | Step: 5550 | Train Loss: 0.3958
Time: 2025-06-14 04:37:45 | Step: 5600 | Train Loss: 0.4018
Time: 2025-06-14 04:38:04 | Step: 5650 | Train Loss: 0.3105
Time: 2025-06-14 04:38:22 | Step: 5700 | Train Loss: 0.4178
Time: 2025-06-14 04:38:40 | Step: 5750 | Train Loss: 0.4588
Time: 2025-06-14 04:38:58 | Step: 5800 | Train Loss: 0.3794
Time: 2025-06-14 04:39:16 | Step: 5850 | Train Loss: 0.3317
Time: 2025-06-14 04:39:34 | Step: 5900 | Train Loss: 0.3614
Time: 2025-06-14 04:39:53 | Step: 5950 | Train Loss: 0.4393
Time: 2025-06-14 04:40:11 | Step: 6000 | Train Loss: 0.3143
Time: 2025-06-14 04:40:29 | Step: 6050 | Train Loss: 0.3872
