-------------------------
Time: 2025-06-14 04:02:00 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040151_gpt2_dora
Training started at: 2025-06-14 04:02:02
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 04:02:25 | Step: 50 | Train Loss: 0.6938
Time: 2025-06-14 04:02:47 | Step: 100 | Train Loss: 0.6057
Time: 2025-06-14 04:03:10 | Step: 150 | Train Loss: 0.6074
Time: 2025-06-14 04:03:32 | Step: 200 | Train Loss: 0.5454
Time: 2025-06-14 04:03:55 | Step: 250 | Train Loss: 0.5227
Time: 2025-06-14 04:04:17 | Step: 300 | Train Loss: 0.4936
Time: 2025-06-14 04:04:40 | Step: 350 | Train Loss: 0.5324
Time: 2025-06-14 04:05:02 | Step: 400 | Train Loss: 0.5466
Time: 2025-06-14 04:05:25 | Step: 450 | Train Loss: 0.5730
Time: 2025-06-14 04:05:47 | Step: 500 | Train Loss: 0.5032
Time: 2025-06-14 04:06:10 | Step: 550 | Train Loss: 0.5819
Time: 2025-06-14 04:06:32 | Step: 600 | Train Loss: 0.4935
Time: 2025-06-14 04:06:55 | Step: 650 | Train Loss: 0.4943
Time: 2025-06-14 04:07:17 | Step: 700 | Train Loss: 0.4372
Time: 2025-06-14 04:07:39 | Step: 750 | Train Loss: 0.4742
Time: 2025-06-14 04:08:02 | Step: 800 | Train Loss: 0.4889
Time: 2025-06-14 04:08:24 | Step: 850 | Train Loss: 0.4781
Time: 2025-06-14 04:08:47 | Step: 900 | Train Loss: 0.4758
Time: 2025-06-14 04:09:09 | Step: 950 | Train Loss: 0.4275
Time: 2025-06-14 04:09:32 | Step: 1000 | Train Loss: 0.5982
Time: 2025-06-14 04:09:54 | Step: 1050 | Train Loss: 0.4142
Time: 2025-06-14 04:10:17 | Step: 1100 | Train Loss: 0.4944
Time: 2025-06-14 04:10:40 | Step: 1150 | Train Loss: 0.4261
Time: 2025-06-14 04:11:02 | Step: 1200 | Train Loss: 0.5174
Time: 2025-06-14 04:11:25 | Step: 1250 | Train Loss: 0.5806
Time: 2025-06-14 04:11:47 | Step: 1300 | Train Loss: 0.4495
