global_step	epoch	step_in_epoch	timestamp	loss
50	0	49	2025-06-15 02:37:34	3.3118
100	0	99	2025-06-15 02:38:04	2.2662
150	0	149	2025-06-15 02:38:34	2.4656
200	0	199	2025-06-15 02:39:04	0.7821
250	0	249	2025-06-15 02:39:34	1.3381
300	0	299	2025-06-15 02:40:04	2.4850
350	0	349	2025-06-15 02:40:35	0.9820
400	0	399	2025-06-15 02:41:05	0.7881
450	0	449	2025-06-15 02:41:35	1.5846
500	0	499	2025-06-15 02:42:06	0.8645
550	0	549	2025-06-15 02:42:36	0.9315
600	0	599	2025-06-15 02:43:06	0.7735
650	0	649	2025-06-15 02:43:37	1.3192
700	0	699	2025-06-15 02:44:07	3.4424
750	0	749	2025-06-15 02:44:37	0.9146
800	0	799	2025-06-15 02:45:07	1.0975
850	0	849	2025-06-15 02:45:38	0.7913
900	0	899	2025-06-15 02:46:08	1.7408
950	0	949	2025-06-15 02:46:38	0.6448
1000	0	999	2025-06-15 02:47:08	1.5372
1050	0	1049	2025-06-15 02:47:39	0.6832
1100	0	1099	2025-06-15 02:48:09	0.5972
1150	0	1149	2025-06-15 02:48:39	0.7380
1200	0	1199	2025-06-15 02:49:10	1.0584
1250	0	1249	2025-06-15 02:49:40	0.6935
1300	0	1299	2025-06-15 02:50:10	0.6644
1350	0	1349	2025-06-15 02:50:40	0.7225
1400	0	1399	2025-06-15 02:51:11	1.1447
1450	0	1449	2025-06-15 02:51:41	0.9817
1500	0	1499	2025-06-15 02:52:11	0.7471
1550	0	1549	2025-06-15 02:52:41	0.9900
1600	0	1599	2025-06-15 02:53:12	0.6530
1650	0	1649	2025-06-15 02:53:42	0.6958
1700	0	1699	2025-06-15 02:54:12	0.6443
1750	0	1749	2025-06-15 02:54:43	0.5884
1800	0	1799	2025-06-15 02:55:13	0.7212
1850	0	1849	2025-06-15 02:55:43	0.7163
1900	0	1899	2025-06-15 02:56:13	0.6300
1950	0	1949	2025-06-15 02:56:44	0.6674
2000	0	1999	2025-06-15 02:57:14	0.6079
2050	0	2049	2025-06-15 02:57:44	0.6298
2100	0	2099	2025-06-15 02:58:14	0.7670
2150	0	2149	2025-06-15 02:58:45	0.5766
2200	0	2199	2025-06-15 02:59:15	0.8181
2250	0	2249	2025-06-15 02:59:45	0.6566
